actor_ent,actor_logprob,actor_loss,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,fps,frame,step,total_time
8.489292400360107,-5.621339237213134,-0.18384461573138833,0.0499467945098877,2500.0,0.002164532460505143,0.18223661272972821,0.1825484880283475,0.18235883739590644,5.0,1000.0,22.431738333332877,4.882990183076764,5000,2500.0,204.79255080223083
8.483867996215821,-5.607414196014404,-0.3814169803857803,0.049027660414576534,3000.0,0.0015623063989914953,0.3435411729812622,0.343503505885601,0.34360514134168624,6.0,1000.0,40.16734954829312,18.034425989272435,6000,3000.0,260.24205780029297
8.47843869781494,-5.596492584228516,-0.6298232944011688,0.05274387547373772,3500.0,0.0035283216387033463,0.5833248034715652,0.5833204996585846,0.583602343916893,7.0,1000.0,45.84053224412954,18.125848593616908,7000,3500.0,315.41188979148865
8.473004383087158,-5.589579755783081,-0.8736630811691284,0.05806022748351097,4000.0,0.005915993989445269,0.8262783577442169,0.8262527868747711,0.8267588222026825,8.0,1000.0,38.64181357411347,18.015364901484443,8000,4000.0,370.9200644493103
8.46756530380249,-5.58346875,-1.172631880760193,0.06150734087824822,4500.0,0.012022791677154601,1.1201827747821809,1.1201945631504058,1.1204873602390288,9.0,1000.0,8.089346080283903,18.122536322217464,9000,4500.0,426.09998083114624
8.46212124633789,-5.578589235305786,-1.3777908697128296,0.05922158664464951,5000.0,0.007130022029392421,1.353271776676178,1.3532727904319763,1.3536307091712951,10.0,1000.0,43.025102690598445,18.191681132537354,10000,5000.0,481.0701632499695
8.456672191619873,-5.574583429336548,-1.6443861927986145,0.06077343325316906,5500.0,0.00652103862632066,1.5961344504356385,1.5961270923614501,1.5963620524406432,11.0,1000.0,46.97297555471198,6.291390522353138,11000,5500.0,640.0175380706787
8.451218204498291,-5.569386030197143,-1.8998309082984923,0.06284746401011944,6000.0,0.005609470845200122,1.8533972311019897,1.8534080190658568,1.8537823643684388,12.0,1000.0,46.35974032791982,17.829046139672368,12000,6000.0,696.1057903766632
8.445759254455567,-5.563474182128906,-2.1144667835235595,0.0649121056497097,6500.0,0.005094381175003946,2.0716463737487794,2.0716359786987306,2.0717969398498535,13.0,1000.0,46.22110328898926,17.70174642335527,13000,6500.0,752.5973925590515
8.440295337677002,-5.558630765914917,-2.3395293235778807,0.06850014367699624,7000.0,0.004946159580722451,2.298333354949951,2.298354836463928,2.298743532180786,14.0,1000.0,21.342657831043248,18.065332212605863,14000,7000.0,807.9520363807678
8.43482646560669,-5.552932327270508,-2.547550488471985,0.06693001854419708,7500.0,0.006593507062643766,2.5048747396469118,2.5048416223526,2.5051103172302245,15.0,1000.0,48.137963901419084,18.048232682191202,15000,7500.0,863.359124660492
8.429352561950683,-5.5478786373138425,-2.7469921522140504,0.06789041179418563,8000.0,0.008315126632340252,2.7130862607955932,2.713065179824829,2.7133903675079347,16.0,1000.0,43.4799182938411,18.40654899148726,16000,8000.0,917.6876153945923
8.423873683929443,-5.542997882843018,-2.9492705659866334,0.06875975997745991,8500.0,0.010689076261594892,2.9112886838912964,2.911288716316223,2.9114944725036622,17.0,1000.0,35.73195258385694,18.614588710093845,17000,8500.0,971.4089217185974
8.4183897895813,-5.53713423538208,-3.1451360301971434,0.06987590412795544,9000.0,0.010927632860839366,3.1060823364257812,3.1060869283676147,3.1065290689468386,18.0,1000.0,50.208847748525514,18.303456931159882,18000,9000.0,1026.0434114933014
8.41290087890625,-5.532064952850342,-3.343752904891968,0.07145359069108963,9500.0,0.014338846921920776,3.3030531129837035,3.3030288524627687,3.3030821409225464,19.0,1000.0,52.524899926940016,18.20130787878464,19000,9500.0,1080.9845218658447
8.407406944274902,-5.526421041488647,-3.5312452573776243,0.07257338678836822,10000.0,0.017050540771335363,3.4907359743118285,3.4907158498764037,3.490993206977844,20.0,1000.0,53.173952753436815,18.335846249273615,20000,10000.0,1135.5225024223328
8.401907958984374,-5.521260002136231,-3.749427953720093,0.07415166760981083,10500.0,0.02269518158957362,3.707394151687622,3.707400426864624,3.7080935430526734,21.0,1000.0,41.59163482268905,6.359367054376027,21000,10500.0,1292.7708580493927
8.396403945922852,-5.515819107055664,-3.9493343868255617,0.0752791619002819,11000.0,0.027036751799285413,3.9074035949707033,3.9074035511016847,3.9077364120483398,22.0,1000.0,53.92463590432875,17.940609406456616,22000,11000.0,1348.5103261470795
8.390894874572753,-5.5103564472198485,-4.152056847572327,0.07691856418550015,11500.0,0.028700449604541062,4.1108224401474,4.1108408203125,4.111068755149842,23.0,1000.0,47.23164735486453,17.97197068535839,23000,11500.0,1404.1525282859802
8.385380722045898,-5.505085844039917,-4.325378218650818,0.07711892987787723,12000.0,0.0285248807631433,4.287603309631348,4.287611209869385,4.287840795516968,24.0,1000.0,51.302934566387776,18.10091420728539,24000,12000.0,1459.398358821869
8.37986151123047,-5.499772928237915,-4.507842985153198,0.07798954638838768,12500.0,0.03349671265482902,4.46954726600647,4.469545667648315,4.469555374145508,25.0,1000.0,47.11702918068352,18.024862675026824,25000,12500.0,1514.8772847652435
8.374337253570557,-5.494467388153076,-4.696869554519654,0.07927131107449531,13000.0,0.035673039808869364,4.662076663970947,4.662087535858154,4.662635223388672,26.0,1000.0,36.11392212153802,17.785850364746977,26000,13000.0,1571.1017558574677
8.368807857513428,-5.489991424560547,-4.858051736831665,0.07892362633347512,13500.0,0.040764478944242004,4.823803617477417,4.823764501571655,4.824131187438965,27.0,1000.0,41.61471499516727,17.927561734805533,27000,13500.0,1626.88179063797
